id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,latitude,longitude
1506,SEM VÍTIMA,CANCELADA,2016-03-01,09:31:00,SANTO AMARO,RUA TREZE DE MAIO,275,E/F BORRACHARIA. PROX. A FÁCIL PNEU NO LADO DIREITO DA VIA.,COLISÃO,SEM VÍTIMAS.,2,,,,,,,,,0,-8.0514747,-34.8830255
1507,SEM VÍTIMA,FINALIZADA,2016-03-01,09:47:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,4555,DENTRO DA TOYOLEX,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,-8.1241891,-34.9145443
1508,SEM VÍTIMA,FINALIZADA,2016-03-01,10:00:00,PRADO,RUA SANTA EDWIRGES,,EM FRENTE DA IGREJA CATOLICA SANTA EDWIRGES,COLISÃO,COL.S/V,1,,,,,,1,,,0,-8.063081,-34.9118105
1509,SEM VÍTIMA,CANCELADA,2016-03-01,10:20:00,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,EM FRENTE AO BANCO SANTANDER,COLISÃO,COLISÃO SEM VITIMA,2,,,,,,,,,0,-8.1109937,-34.8914817
1510,SEM VÍTIMA,CANCELADA,2016-03-01,10:23:00,APIPUCOS,RUA DOIS IRMAOS,,E/F AO HOTEL SENZALA SENTIDO CASA FORTE. LADO DIREITO DA VIA.,COLISÃO,SEM VÍTIMAS.,2,,,,,,,,,0,-8.0179739,-34.940726
1511,SEM VÍTIMA,FINALIZADA,2016-03-01,10:47:00,BOA VISTA,RUA HENRIQUE DIAS,181,EM FRENTE A UNIMED,COLISÃO,SEM VITIMAS,1,,,,,1,,,,0,-8.0585831,-34.8961517
1512,SEM VÍTIMA,FINALIZADA,2016-03-01,13:11:00,BOA VIAGEM,RUA ANTONIO FALCAO,,EM FRENTE DO RESIDENCIAL LE PARK,COLISÃO,DOIS AUTOS,2,,,,,,,,,0,-8.1148235,-34.897323
1513,SEM VÍTIMA,FINALIZADA,2016-03-01,13:39:00,BOA VIAGEM,RUA OLAVO BILAC,20,POR TRÁS DO RESTUARANTE SÓ CALDINHO,COLISÃO,02 AUTO,2,,,,,,,,,0,-8.1294036,-34.9033506
1514,SEM VÍTIMA,FINALIZADA,2016-03-01,13:45:00,PRADO,AV ENGENHEIRO ABDIAS DE CARVALHO,1771,E/F FACULDADE ESTACIO,COLISÃO,ENTRE DOIS VEICULOS,,,,,,,,,,0,-8.0626819,-34.9172794
1515,SEM VÍTIMA,PENDENTE,2016-03-01,14:02:00,IPSEP,RUA ITANAGE,349,COLISAO NO SEMAFORO 11,COLISÃO,DE ESQUINA COM A PADARIA BLUMENAU,,,,,,,,,,0,-8.1066735,-34.9214273
1516,SEM VÍTIMA,FINALIZADA,2016-03-01,14:02:00,BOA VIAGEM,AV CONSELHEIRO AGUIAR,2891,E/F A GALERA MANOEL CAETANO E/F AO ARCADIA GOURMET,COLISÃO,2 AUTOS,2,,,,,,,,,0,-8.1146184,-34.8937089
1517,SEM VÍTIMA,FINALIZADA,2016-03-01,14:12:00,AFLITOS,AV CONS ROSA E SILVA,,COM A CONS PORTELA  / AO LADO DA HABIBS,COLISÃO,AUTO E ONIBUS,1,,,,,1,,,,0,-8.0413191,-34.8982291
1518,SEM VÍTIMA,FINALIZADA,2016-03-01,15:06:00,SÃO JOSÉ,RUA SAO JOSE,,EM FRENTE AO FORTE DAS CINCO PONTAS,COLISÃO,AUTO E MOTO,1,1,,,,,,,,0,-8.0696662,-34.8786484
1519,SEM VÍTIMA,FINALIZADA,2016-03-01,15:09:00,MADALENA,RUA JOSE OSORIO,,SENTIDO AVENICA CAXANGA E/F SENNA MULTIMARCAS,COLISÃO,02 AUTOS,2,,,,,,,,,0,-8.0536025,-34.9092043
1520,SEM VÍTIMA,FINALIZADA,2016-03-01,16:12:00,ESPINHEIRO,RUA AMELIA,670,E/F EMPRESARIAL CORDOBA CRUZ COM AV. ROSA E SILVA.,COLISÃO,02 AUTOS,2,,,,,,,,,0,-8.0453739,-34.8966999
1521,SEM VÍTIMA,FINALIZADA,2016-03-01,16:33:00,CAMPO GRANDE,EST DE BELEM,,E/F DO COLEGIO JESUS CRUCIFICADO,COLISÃO,COLISAO DE QUATRO AUTOS S/V,4,,,,,,,,,0,-8.0328726,-34.8843877
